x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,percentage_above_baseline,max_recorded_intensity,firstmoment,secondmoment,thirdmoment,skewness,q0,deltaq0,wMu,firstmoment_lu,secondmoment_lu,thirdmoment_lu,skewness_lu,D_period,peak_width,wp,peak_amplitude,fibril_radius
0,0,0.025394,0.018142,8.5e-05,0.10802961330665817,81.8236251933194,0.010965195185204321,0.290583,0.0845,0.024585,-1.143394,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
1,0,0.024956,0.017092,0.0,1e-09,6.34189554533296,0.0024969652749566446,0.30839,0.0951,0.02933,0.092277,0.307,0.009625,0.1283673469387755,0.309195,0.0957,0.029656,0.09211,61.39920495615231,0.009625,0.039408775510204073,1,67.66682375036467
2,0,0.026627,0.0211,0.0,1e-09,24.510016099186814,0.0028856843226200204,0.29455,0.0868,0.025624,-0.770392,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
3,0,0.030206,0.02969,0.0,1e-09,8.202932939389521,0.004663260345657491,0.294913,0.0873,0.025904,-0.13802,0.292,0.001,0.0455102040816326,0.292334,0.0855,0.024984,-0.135857,64.55327370389986,0.001,0.01328897959183672,1,200.6675266703526
4,0,0.030049,0.029314,7.1e-05,0.090236500526738,81.64080215404968,0.006903902822302275,0.291638,0.0851,0.024875,0.033491,0.291,0.004,0.0691836734693877,0.291639,0.0851,0.02482,0.033377,64.77510625958337,0.004,0.020132448979591818,1,132.4561492429389
5,0,0.030982,0.031552,0.000158,0.20080798708767045,83.69005358939421,0.01416317406865987,0.28384,0.0806,0.022897,0.40334,0.28,0.007375,0.1579591836734694,0.283224,0.0803,0.022784,0.404512,67.31984257692413,0.007375,0.044228571428571437,1,60.292850990525395
6,0,0.032832,0.035992,2.7e-05,0.03431528893270318,66.41487648151166,0.005096506121168361,0.293326,0.0862,0.025351,-0.411096,0.288,0.001,0.0395918367346938,0.28828,0.0831,0.023959,-0.404771,65.44984694978736,0.001,0.011402448979591813,1,233.86788850706424
7,0,0.04553,0.066463,0.0,1e-09,34.037267178731256,0.00893794728366943,0.283299,0.0803,0.022814,0.580951,0.282,0.002875,0.1046938775510204,0.2835,0.0804,0.022796,0.580733,66.84239688488923,0.002875,0.02952367346938775,1,90.32299688016997
8,0,0.115447,0.234246,0.00016,0.2033498603419448,87.13255331210189,0.01496315849122136,0.287935,0.083,0.023928,0.579833,0.286,0.0055,0.1461224489795918,0.288888,0.0835,0.024151,0.580169,65.90753818719845,0.0055,0.04179102040816326,1,63.80956101626494
9,0,0.150332,0.317963,0.0,1e-09,35.230441930510906,0.01391336648062716,0.289947,0.0842,0.024459,0.548937,0.286,0.007,0.1638775510204081,0.289579,0.0839,0.024348,0.548724,65.90753818719845,0.007,0.04686897959183672,1,56.896196373157785
10,0,0.183127,0.396662,0.0,1e-09,38.87824032752361,0.013696302383030712,0.289513,0.0839,0.024327,-1.11727,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
11,0,0.219909,0.484929,0.000122,0.1550542685107329,71.6011249643201,0.022160305469492853,0.286458,0.0821,0.023529,-0.83789,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
12,0,0.262256,0.586551,0.000497,0.631655503687166,89.28736432958453,0.038412281660866576,0.288143,0.0831,0.023968,-0.203225,0.284,0.001,0.0455102040816326,0.284337,0.0808,0.022989,-0.200278,66.37167578006606,0.001,0.012924897959183657,1,206.320133055433
13,0,0.308328,0.697112,0.000528,0.6710545391284178,95.29086296100063,0.05289135747635704,0.291575,0.0851,0.024835,-0.216283,0.292,0.001,0.0336734693877551,0.292194,0.0854,0.024948,-0.218989,64.55327370389986,0.001,0.00983265306122449,1,271.205202712052
14,0,0.321444,0.728588,0.000432,0.5490446229232508,84.32216489447934,0.04677082721869619,0.288691,0.0834,0.024087,-0.845412,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
15,0,0.297111,0.670194,0.000119,0.15124145862932142,59.3731979438064,0.0491908335053825,0.287613,0.0828,0.023821,-0.76785,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
16,0,0.290372,0.654023,0.000216,0.2745223114616254,71.8930684698528,0.03615190103585347,0.288543,0.0833,0.024066,-1.018714,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
17,0,0.288053,0.648458,0.000981,1.0,95.95305918494559,0.08345979265941539,0.289979,0.0841,0.024416,0.32277,0.286,0.008875,0.1638775510204081,0.289479,0.0839,0.024349,0.322866,65.90753818719845,0.008875,0.04686897959183672,1,56.896196373157785
18,0,0.273357,0.613189,0.000586,0.7447688635023728,92.46257551470657,0.06956415384410261,0.2881,0.083,0.023935,-1.052556,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
19,0,0.277969,0.624259,0.000688,0.8744043994703625,93.80783715445615,0.07530633500007272,0.290185,0.0842,0.024462,-0.528983,0.284,0.001,0.0336734693877551,0.284218,0.0808,0.02296,-0.531033,66.37167578006606,0.001,0.009563265306122448,1,278.8447858870394
20,0,0.284151,0.639092,0.000489,0.6214880106700686,85.88716380152613,0.06445290782107577,0.288797,0.0834,0.024111,-1.390075,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
21,0,0.267634,0.599456,0.000433,0.550315559550388,83.78297013497499,0.04457946223842604,0.288606,0.0833,0.024065,-0.523573,0.284,0.001,0.0336734693877551,0.284218,0.0808,0.02296,-0.531033,66.37167578006606,0.001,0.009563265306122448,1,278.8447858870394
22,0,0.257805,0.575869,0.000255,0.3240888399199745,87.13102250981724,0.022204843797371338,0.293172,0.086,0.025269,-0.314482,0.29,0.001,0.0218367346938775,0.29011,0.0842,0.024418,-0.319376,64.99846869496125,0.001,0.006332653061224475,1,421.09786228381233
23,0,0.24507,0.545309,0.00047,0.5973402147544628,95.5824010680021,0.04598029011036611,0.289715,0.084,0.024354,0.65479,0.285,0.009625,0.2053061224489795,0.290476,0.0845,0.024644,0.654796,66.13879270715356,0.009625,0.05851224489795915,1,45.574506179298496
24,0,0.230668,0.510748,0.000223,0.28341886785158554,80.68495662664306,0.03202802021324477,0.287971,0.083,0.023918,0.088768,0.287,0.00625,0.1046938775510204,0.288422,0.0832,0.024031,0.088412,65.67789519699916,0.00625,0.030047142857142852,1,88.74942550595098
25,0,0.226757,0.501362,0.00051,0.648177679839949,93.28914849754831,0.03969089229613698,0.289817,0.084,0.024382,0.113825,0.288,0.007,0.1165306122448979,0.289763,0.084,0.024378,0.114989,65.44984694978736,0.007,0.033560816326530594,1,79.45774145423886
26,0,0.205776,0.451012,0.000246,0.3126504102757401,89.24123794363376,0.029611072782607384,0.291855,0.0852,0.024896,-0.373843,0.299,0.001,0.0336734693877551,0.29921,0.0895,0.026788,-0.380372,63.04199304862462,0.001,0.010068367346938776,1,264.85591702983004
27,0,0.196402,0.428518,0.000229,0.2910444876144085,83.30073977788591,0.03469075206750308,0.28935,0.0838,0.024249,-0.074591,0.288,0.001,0.0514285714285714,0.288426,0.0832,0.023995,-0.067311,65.44984694978736,0.001,0.014811428571428562,1,180.04115226337458
28,0,0.196909,0.429734,0.000124,0.1575961417650072,76.72572375669778,0.013230793406071584,0.290107,0.0842,0.024478,-0.28383,0.29,0.001,0.0159183673469387,0.290073,0.0841,0.024408,-0.280966,64.99846869496125,0.001,0.004616326530612222,1,577.6598880047184
29,0,0.189879,0.412865,0.000225,0.28596074110585984,85.31972177894978,0.025428244606559736,0.28701,0.0824,0.023703,1.138368,0.279,0.009625,0.2526530612244897,0.287133,0.0827,0.023867,1.138035,67.56113233526436,0.009625,0.07049020408163263,1,37.8303155936175
30,0,0.182096,0.394188,0.0,1e-09,5.970519629889565,0.006904515284576307,0.277346,0.0769,0.021334,-0.226008,0.273,0.001,0.0455102040816326,0.273324,0.0747,0.02042,-0.232456,69.04599238658885,0.001,0.012424285714285702,1,214.6333984899009
31,0,0.196416,0.428552,0.000266,0.3380691428184832,87.09822788510962,0.02601495963568143,0.285576,0.0816,0.023325,1.408365,0.282,0.004,0.1697959183673469,0.2859,0.0818,0.023409,1.407631,66.84239688488923,0.004,0.04788244897959182,1,55.691943989816345
