x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,peak_position,peak_position2,peak_width,peak_width2,peak_amplitude,peak_amplitude2,peak_height,peak_height2,rsq_gaussian_fit,SM,AP,area_fit,area_peaks,bg_c,FailReason,wm1_p1,wm2_p1,wm3_p1,wm_skew_p1,wm_area_p1,wm1_p2,wm2_p2,wm3_p2,wm_skew_p2,wm_area_p2,wm1_p3,wm2_p3,wm3_p3,wm_skew_p3,wm_area_p3,AP_WM,wm_area_sum,area_total_bs
0,0,0.02164,0.010942,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
1,0,0.022997,0.015019,7.5e-05,0.0368045671063517,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
2,0,0.021982,0.011969,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
3,0,0.023199,0.015627,0.00011,0.0539800317559825,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
4,0,0.023228,0.015714,2.1e-05,0.0103052787897784,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
5,0,0.022644,0.013959,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
6,0,0.023804,0.017443,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
7,0,0.022189,0.012592,4.1e-05,0.0201198300181389,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
8,0,0.021948,0.011868,8.3e-05,0.0407303875976958,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
9,0,0.022508,0.013552,2e-05,0.0098145512283604,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
10,0,0.022974,0.014951,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
11,0,0.022881,0.01467,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
12,0,0.024131,0.018426,4.5e-05,0.022082740263811,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
13,0,0.030349,0.03711,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
14,0,0.044421,0.07939,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
15,0,0.0594,0.124399,0.000138,0.0677204034756871,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
16,0,0.072824,0.164735,6.6e-05,0.0323880190535895,338.98827360017344,158.98827360017344,8.169169253323654,8.169169253323654,0.1679877104172356,0.1679877104172356,0.008203698343745448,0.008203698343745448,0.20984080423688645,0.06751947843835124,0.024248453534006092,11.303343681768924,0.2740886040462751,0.03063681966034069,,340.44800707507204,4.765005476336301,-37.96325037096321,-0.3508917657061594,0.11048999730244458,159.62842385076266,4.928919285240443,-21.46207304311759,-0.17923241214576188,0.13390836023872196,,,,,,0.31161239676743757,0.24439835754116654,0.7843024221002537
17,0,0.123873,0.318119,6e-05,0.0294436536850813,,,,,,,,,,,,,,,too_narrow,,,,,,,,,,,,,,,,,,
18,0,0.105299,0.262312,0.000249,0.1221911627930876,,,,,,,,,,,,,,,too_narrow,,,,,,,,,,,,,,,,,,
19,0,0.101085,0.249648,0.000128,0.0628131278615069,338.98827360017344,158.98827360017344,9.139268091296898,9.139268091296898,0.21556286160169053,0.21556286160169053,0.009409630915535767,0.009409630915535767,0.4912481839250752,0.06048154112480417,0.022971360565252317,15.133046593945535,0.34762666976028633,0.04107061090051458,,339.5186759520351,5.06589441932856,-22.123785643407214,-0.17017315052656742,0.1599592297257521,159.49785022551208,5.104630443426035,-22.22171128415126,-0.16706465647896515,0.12230970224112192,,,,,,0.3566126654018769,0.282268931966874,0.7915280621028341
20,0,0.102524,0.253973,0.000344,0.1688102811277998,336.98873582915445,156.98873582915445,10.333274556189792,10.333274556189792,0.15935710753440632,0.15935710753440632,0.0061523854352510555,0.0061523854352510555,0.3452132174281194,0.0412046839224792,0.01540282615244904,15.219853544238212,0.23442875820763653,0.041626179961196046,,338.0934722994631,6.243543295800478,-67.67166540980965,-0.2780439704894213,0.13980064485741456,159.763306032324,6.668062259964857,-200.8302252981587,-0.6773765173638394,0.09719208798665377,,,,,,0.35315721188643984,0.23699273284406833,0.6710686483737305
21,0,0.107275,0.268248,0.000304,0.1491811786710789,334.98919805813546,154.98919805813546,11.799911204143228,11.799911204143228,0.28843495820301646,0.28843495820301646,0.009751675074690384,0.009751675074690384,0.6066312794810103,0.06599565541541949,0.030993649674419792,15.801083295170475,0.4897332401268404,0.042531527930676764,,334.61199539954924,6.277125511615693,13.931909958503232,0.056328504559234244,0.19172836611160163,155.32679267013293,6.547349834624853,-29.99206531384098,-0.10685866238596343,0.16792768559412324,,,,,,0.40306380556105403,0.3596560517057249,0.8923055028597601
22,0,0.108159,0.270903,0.000471,0.2311326814278887,332.9896602871164,152.9896602871164,15.5146217333056,15.5146217333056,0.5680900522555368,0.5680900522555368,0.014607841867885829,0.014607841867885829,0.8043453219578557,0.10512974501767477,0.06452100082643042,16.204468319174254,1.0455285138133075,0.04210816612600263,,333.1434043534846,8.718653371660558,-27.31500196440431,-0.0412147814193627,0.39820581215288764,153.65061940850143,8.239787835824275,-53.211379349625425,-0.09511662435504596,0.3900031887763001,,,,,,0.5445949427681324,0.7882090009291878,1.4473307389209027
23,0,0.12117,0.309997,0.0,1e-09,338.98827360017344,158.98827360017344,12.905959891126805,12.905959891126805,0.8656595861065212,0.8656595861065212,0.026758816255901444,0.026758816255901444,0.8759031345204372,0.16524825559062228,0.09116976466992813,17.845016749110034,1.6269259775472875,0.04505025214322985,,338.67838329747514,7.059732445921457,3.4775122543296297,0.00988334469996455,0.6582579436426068,159.18452443348093,7.129303861947539,-27.41954818411227,-0.07566916089270258,0.5870914544841614,,,,,,0.5785886923520497,1.2453493981267683,2.1523915254275647
24,0,0.13538,0.352695,0.000484,0.2375121397263229,338.98827360017344,158.98827360017344,14.426022141667065,14.426022141667065,1.0855884839076178,1.0855884839076178,0.03002124501783079,0.03002124501783079,0.8834864426289623,0.1750084919456018,0.10486441831678185,19.577393244413887,2.052971954734357,0.04867894802688758,,339.3631832722319,8.10854997601882,-63.17753028191113,-0.11850401130717154,0.8175993615621402,159.32754462539725,8.082921211716995,-53.91723027542095,-0.10209924669939457,0.8213003809399937,,,,,,0.6157465033274999,1.6388997425021339,2.6616468524717627
25,0,0.156037,0.414763,0.000532,0.2610670626743881,152.94805967882684,332.94805967882684,21.77994173370543,21.77994173370543,1.4850773747087405,1.4850773747087405,0.027202100064483616,0.027202100064483616,0.8523304443342836,0.15329149966144462,0.12765362842353725,22.226358282638266,2.8372752814203146,0.05385856389227209,,154.78877001789436,11.30896035807626,-274.6731298598289,-0.18991013002066437,1.0936612007121265,335.47815671261725,11.608906478113141,-435.7281681747465,-0.2785105806977099,1.1266659206708751,,,,,,0.6486046234038456,2.2203271213830016,3.423236654914411
26,0,0.15385,0.408191,0.000212,0.1040342430206208,158.94667299188387,338.9466729918839,26.52542744022028,26.52542744022028,1.6980463050627401,1.6980463050627401,0.025538606934634597,0.025538606934634597,0.8916922820613883,0.1475869330422625,0.14890336795528034,21.862936041973654,3.2554648100407633,0.051687420088702474,,159.0375409969745,14.042958911746604,-195.81665213445422,-0.07070884540129128,1.2835870156157263,338.12062523489055,13.484906412922712,-65.12505624793327,-0.026558546376398963,1.1591936458385093,,,,,,0.662548821861311,2.4427806614542353,3.68694438938354
27,0,0.158482,0.422109,0.000426,0.2090499411640776,336.98873582915445,156.98873582915445,25.255671152689562,25.255671152689562,1.7802545555733404,1.7802545555733404,0.02812116169084004,0.02812116169084004,0.8965402515138297,0.15912634881461402,0.1529264557974871,22.35192757464982,3.418201064233319,0.05259368475115695,,334.7795228892362,12.417968229342659,52.28048724501397,0.02730159332651692,1.2649370506109034,156.8089343972182,13.068666541274556,2.7625028140860626,0.0012376814987506057,1.2696316377280472,,,,,,0.6560164991557512,2.5345686883389504,3.8635746076520463
