x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,percentage_above_baseline,max_recorded_intensity,firstmoment,secondmoment,thirdmoment,skewness,q0,deltaq0,wMu,firstmoment_lu,secondmoment_lu,thirdmoment_lu,skewness_lu,D_period,peak_width,wp,peak_amplitude,fibril_radius
0,0,0.021718,0.010374,0.0,1e-09,0.0,0.0,,,,,,,,,,,,,,,1,
1,0,0.026251,0.025592,0.0,1e-09,11.49085348371703,0.004508907769695258,0.284793,0.0814,0.023321,0.702593,0.278,0.01,0.2171428571428571,0.283949,0.0808,0.023041,0.703237,67.80415799114661,0.01,0.06036571428571428,1,44.17518616685599
2,0,0.032087,0.045185,3.4e-05,0.015770559820348317,76.05181303707612,0.005746501870276137,0.288682,0.0834,0.024144,0.193022,0.288,0.002125,0.0691836734693877,0.288671,0.0833,0.02406,0.193139,65.44984694978736,0.002125,0.019924897959183657,1,133.83590079755282
3,0,0.030254,0.039032,0.0,1e-09,9.00587862224084,0.0016096885367360043,0.303802,0.0923,0.028047,0.593206,0.302,0.002125,0.086938775510204,0.303118,0.0919,0.027857,0.593171,62.41574808456543,0.002125,0.02625551020408161,1,101.56598161448463
4,0,0.027928,0.031221,7.2e-05,0.03339647961956114,87.61488582980263,0.005091343543423027,0.290854,0.0847,0.024707,-0.01481,0.29,0.001375,0.01,0.29001,0.0841,0.024393,-0.015246,64.99846869496125,0.001375,0.0029,1,919.5402298850574
5,0,0.11208,0.313754,0.0,1e-09,3.478259917001104,0.003029837457172335,0.298391,0.0892,0.026747,-1.226409,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
6,0,0.241624,0.748689,1.7e-05,0.007885279910174159,53.148945863984856,0.015007773169512295,0.284525,0.081,0.023054,1.456628,0.277,0.007375,0.246734693877551,0.284823,0.0813,0.023256,1.455427,68.04893834490527,0.007375,0.06834551020408164,1,39.01743741035693
7,0,0.262881,0.820057,0.0,1e-09,37.87740313152301,0.03163433583988218,0.279925,0.0784,0.02194,-0.162145,0.278,0.001,0.0277551020408163,0.278121,0.0774,0.021514,-0.168788,67.80415799114661,0.001,0.007715918367346932,1,345.60586824657946
8,0,0.264004,0.823826,0.000287,0.13312207848352842,80.0830836489353,0.03581231111724226,0.28965,0.0839,0.024341,-0.766683,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
9,0,0.259756,0.809565,0.000691,0.3205134363488437,87.18241583916951,0.09826142864329951,0.289071,0.0836,0.02417,-0.725918,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
10,0,0.264003,0.823824,0.001407,0.6526228725655906,98.50211760194286,0.12524740375754123,0.290677,0.0845,0.024586,0.046414,0.289,0.00775,0.1046938775510204,0.290363,0.0844,0.024537,0.046811,65.22337689113758,0.00775,0.030256530612244894,1,88.13524263047726
11,0,0.264756,0.826352,0.001276,0.591859833257778,96.80367757050634,0.11297921254919424,0.289734,0.084,0.024341,-0.313669,0.29,0.001,0.0218367346938775,0.29011,0.0842,0.024418,-0.319376,64.99846869496125,0.001,0.006332653061224475,1,421.09786228381233
12,0,0.256888,0.799937,0.000859,0.39843855546115303,93.43963869235596,0.10944499737381011,0.290779,0.0846,0.024606,-0.094005,0.292,0.001,0.0159183673469387,0.292048,0.0853,0.02491,-0.099217,64.55327370389986,0.001,0.0046481632653061,1,573.7033134293436
13,0,0.253921,0.789976,0.001036,0.48053823452590755,96.9894797460857,0.08562756357945131,0.289395,0.0838,0.024261,-0.335733,0.297,0.001,0.0277551020408163,0.297144,0.0883,0.026237,-0.332355,63.466518254339256,0.001,0.00824326530612244,1,323.49640192777485
14,0,0.249389,0.774759,0.000918,0.42580511514940456,92.91286743810616,0.10527697909959896,0.289327,0.0837,0.024241,0.276017,0.288,0.002875,0.086938775510204,0.289052,0.0836,0.02416,0.275256,65.44984694978736,0.002875,0.02503836734693875,1,106.50321683185543
15,0,0.257102,0.800655,0.000951,0.44111183497503675,96.42007457485869,0.10193368336140138,0.290436,0.0844,0.02452,0.174941,0.288,0.0085,0.140204081632653,0.290534,0.0845,0.024599,0.174796,65.44984694978736,0.0085,0.04037877551020406,1,66.04129602674001
16,0,0.265571,0.829089,0.001354,0.6280393528456358,92.53025962158424,0.1893556809635527,0.288798,0.0834,0.024097,-1.037404,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
17,0,0.296108,0.931615,0.002415,1.0,97.1797706748063,0.2777105099376679,0.289166,0.0836,0.024194,-0.427987,0.286,0.001,0.0395918367346938,0.28628,0.082,0.023463,-0.43265,65.90753818719845,0.001,0.011323265306122425,1,235.50332828683395
18,0,0.304944,0.961281,0.003254,1.0,98.82142008210789,0.3669692239609986,0.289019,0.0835,0.024157,0.070382,0.289,0.003625,0.0751020408163265,0.289766,0.084,0.024342,0.070131,65.22337689113758,0.003625,0.021704489795918356,1,122.8624442104208
19,0,0.310903,0.981288,0.003822,1.0,99.38998325652526,0.3923956984164584,0.289575,0.0839,0.024298,0.348449,0.288,0.001375,0.0632653061224489,0.28857,0.0833,0.024032,0.34809,65.44984694978736,0.001375,0.018220408163265284,1,146.35603345280782
20,0,0.325491,1.0,0.003182,1.0,99.64984205107474,0.33246475710164336,0.289198,0.0837,0.024203,0.171487,0.287,0.006625,0.1224489795918367,0.288971,0.0836,0.024175,0.171882,65.67789519699916,0.006625,0.03514285714285713,1,75.88075880758811
21,0,0.321503,1.0,0.002765,1.0,98.60424131690135,0.31316243844826536,0.28899,0.0835,0.024152,0.443758,0.286,0.00625,0.1461224489795918,0.288858,0.0835,0.024151,0.444035,65.90753818719845,0.00625,0.04179102040816326,1,63.80956101626494
22,0,0.321426,1.0,0.002962,1.0,99.27320818642673,0.30401145512024086,0.289796,0.084,0.024356,0.445433,0.287,0.00775,0.1638775510204081,0.290555,0.0845,0.024605,0.445392,65.67789519699916,0.00775,0.04703285714285712,1,56.697951786491736
23,0,0.293009,0.921211,0.002726,1.0,97.97028686632557,0.34188840736296855,0.288748,0.0834,0.024086,-0.043609,0.293,0.001,0.01,0.293016,0.0859,0.025159,-0.045202,64.33295536361352,0.001,0.00293,1,910.1251422070534
24,0,0.249076,0.77371,0.002823,1.0,99.0651957502791,0.326684122420448,0.289466,0.0838,0.024271,0.100134,0.287,0.006625,0.1106122448979591,0.288585,0.0833,0.024076,0.100745,65.67789519699916,0.006625,0.03174571428571426,1,84.00084000840015
25,0,0.193615,0.587504,0.001793,0.8316651105260157,99.1862755009596,0.20356376409003937,0.289876,0.084,0.024373,0.541485,0.289,0.001375,0.0691836734693877,0.289681,0.0839,0.024311,0.541996,65.22337689113758,0.001375,0.01999408163265304,1,133.37280079479314
26,0,0.148452,0.435871,0.001396,0.6475206326237133,98.46891514488499,0.13984902440253694,0.29105,0.0847,0.024679,0.361779,0.287,0.0085,0.1638775510204081,0.290515,0.0845,0.024605,0.360915,65.67789519699916,0.0085,0.04703285714285712,1,56.697951786491736
27,0,0.129753,0.373092,0.000927,0.4299796751018497,98.33698402570711,0.10023560822717917,0.290528,0.0844,0.024546,0.152752,0.288,0.009625,0.1461224489795918,0.290701,0.0846,0.024661,0.152853,65.44984694978736,0.009625,0.04208326530612244,1,63.36643906476309
28,0,0.134797,0.390026,0.000736,0.34138623611106944,97.06748349064465,0.0758564062995076,0.290473,0.0844,0.024538,0.337125,0.29,0.005125,0.1224489795918367,0.292054,0.0853,0.024941,0.337744,64.99846869496125,0.005125,0.03551020408163264,1,75.09578544061304
29,0,0.140444,0.408986,0.0006,0.27830399682967616,84.44919431383903,0.08385902620568672,0.289807,0.084,0.024358,-0.78919,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
30,0,0.154113,0.454878,0.000766,0.35530143595255326,93.64784778975798,0.06092340566027707,0.291459,0.085,0.024793,-0.184259,0.292,0.001,0.0277551020408163,0.292136,0.0853,0.024933,-0.190204,64.55327370389986,0.001,0.008104489795918358,1,329.0357238785929
31,0,0.15604,0.461349,0.000285,0.13219439849409617,77.21792911999049,0.031549381741946325,0.291801,0.0852,0.024883,-0.815855,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1,945.6264775413713
32,0,0.144401,0.422272,0.000656,0.3042790365337793,95.53752726864474,0.06436920312651331,0.291189,0.0848,0.024718,-0.024709,0.288,0.001375,0.0277551020408163,0.288107,0.083,0.023916,-0.024027,65.44984694978736,0.001375,0.007993469387755093,1,333.6056644880178
