x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,peak_position,peak_position2,peak_width,peak_width2,peak_amplitude,peak_amplitude2,peak_height,peak_height2,rsq_gaussian_fit,SM,AP,area_fit,area_peaks,bg_c,FailReason,wm1_p1,wm2_p1,wm3_p1,wm_skew_p1,wm_area_p1,wm1_p2,wm2_p2,wm3_p2,wm_skew_p2,wm_area_p2,wm1_p3,wm2_p3,wm3_p3,wm_skew_p3,wm_area_p3,AP_WM,wm_area_sum,area_total_bs
0,0,0.045178,0.013687,1e-06,0.0005764923136603,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
1,0,0.045545,0.014316,0.000125,0.0720615392075385,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
2,0,0.045667,0.014525,2.7e-05,0.0155652924688283,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
3,0,0.045528,0.014287,3.2e-05,0.0184477540371298,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
4,0,0.046604,0.016134,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
5,0,0.045528,0.014287,6.9e-05,0.0397779696425612,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
6,0,0.04563,0.014462,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
7,0,0.045558,0.014338,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
8,0,0.045057,0.013478,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
9,0,0.045982,0.015066,1.2e-05,0.0069179077639237,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
10,0,0.045389,0.014049,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
11,0,0.046034,0.015156,6e-06,0.0034589538819618,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
12,0,0.046148,0.015352,8.7e-05,0.0501548312884468,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
13,0,0.046319,0.015646,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
14,0,0.046443,0.015859,0.000141,0.0812854162261035,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
15,0,0.044652,0.012782,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
16,0,0.04532,0.01393,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
17,0,0.045313,0.013919,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
18,0,0.046516,0.015984,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
19,0,0.049756,0.021548,0.000114,0.0657201237572751,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
20,0,0.049879,0.021759,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
21,0,0.050832,0.023397,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
22,0,0.049756,0.021548,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
23,0,0.049699,0.021451,0.0,1e-09,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
24,0,0.051044,0.02376,5e-06,0.0028824615683015,,,,,,,,,,,,,,,under_thresh,,,,,,,,,,,,,,,,,,
