x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,peak_position,peak_position2,peak_width,peak_width2,peak_amplitude,peak_amplitude2,peak_height,peak_height2,rsq_gaussian_fit,SM,AP,area_fit,area_peaks,bg_c,FailReason,wm1_p1,wm2_p1,wm3_p1,wm_skew_p1,wm_area_p1,wm1_p2,wm2_p2,wm3_p2,wm_skew_p2,wm_area_p2,wm1_p3,wm2_p3,wm3_p3,wm_skew_p3,wm_area_p3,AP_WM,wm_area_sum,area_total_bs
26,0,0.116599,0.591714,5.6e-05,0.0992307908085015,156.94713522086485,336.9471352208649,20.31049915225523,20.31049915225523,1.1109494909620774,1.1109494909620774,0.02182145894164347,0.02182145894164347,0.8014930143466134,0.1849780801605301,0.1456577317566331,14.620441719179095,2.1295803780956764,0.03469683705856505,,157.90035638056438,10.78228204450047,-180.4256817374832,-0.1439349598581307,0.9322526791585275,337.4300280062294,10.814856530763263,-260.17452641617643,-0.20568493568738294,0.7567220341527847,,,,,,0.6283843077644979,1.6889747133113122,2.6878053643954076
27,0,0.125069,0.641442,0.000275,0.4872940620060342,168.9443618469789,348.9443618469789,26.01962601955795,26.01962601955795,1.7233256000055996,1.7233256000055996,0.026422648973648905,0.026422648973648905,0.8758450029290556,0.20733392514017399,0.20673964074268647,16.095018777548418,3.327478399817153,0.035465389938142404,,168.40808874939694,13.743897828284414,-25.903841947153673,-0.009977791572486367,1.4044304775531922,347.6910086160037,13.834161911728733,538.3731222878764,0.20334093083949614,1.17475683949727,,,,,,0.6818790013178953,2.5791873170504624,3.782470661313169
28,0,0.111923,0.564259,0.000133,0.235673128170191,174.94297516003587,354.94297516003587,29.971719722052,29.971719722052,1.529040755789029,1.529040755789029,0.020352485996737533,0.020352485996737533,0.8061786996830007,0.1733291371415452,0.20231689560392527,14.597412775593194,2.953303236607093,0.03234474871940583,,173.65291279916633,15.132710657417178,682.9040066657819,0.19706499012104692,1.2352179096201852,352.01113870057566,16.15286693681676,864.4387141944062,0.20510930461963142,1.1205304672200058,,,,,,0.689478078865506,2.3557483768401912,3.416712509143773
29,0,0.200868,1.0,0.000339,0.600700680072893,,,,,,,,,,,,,,,weak_dom_rise,,,,,,,,,,,,,,,,,,
30,0,0.154479,0.814107,0.000142,0.2516209338358431,174.94297516003587,354.94297516003587,4.893294904099311,4.893294904099311,1.0878941603951195,1.0878941603951195,0.08869422049749051,0.08869422049749051,0.669960476660288,0.3951736040486584,0.11938000278264911,16.66795312363941,1.9898202902811377,0.04077259120377298,,174.99593984276547,2.765294565565876,-0.49472666879696003,-0.023395973547417032,1.323566140502797,354.9530499529636,2.7524436009942326,0.2254108604747794,0.010809847082857883,0.5229951168115987,,,,,,0.4726173680547528,1.8465612573143957,3.9070956383060205
31,0,0.119464,0.608537,9.4e-05,0.1665659702856989,172.9434373890169,352.94343738901694,19.9818319195431,19.9818319195431,0.8262318399070396,0.8262318399070396,0.016495925682890183,0.016495925682890183,0.7650674979412351,0.12665573419920512,0.09581062517660807,16.08105018940017,1.540735472142842,0.04038976310349258,,172.28891706181813,10.126658692720357,239.2821053437725,0.23041550641168815,0.6685601117147428,351.44090187823207,10.925775431848026,331.39722018285073,0.254092620253352,0.6095477962976689,,,,,,0.6153268718639465,1.2781079080124118,2.077120253404131
32,0,0.117183,0.595144,0.000223,0.3951511848267113,181.0247896896721,1.0247896896721045,27.685834852502108,27.685834852502108,1.4393568345398124,1.4393568345398124,0.02074058091229296,0.02074058091229296,0.8252498537978183,0.163318659471164,0.17295037786616888,15.980806032894634,2.763886441995078,0.036713665530276544,,179.90535536279714,14.34483740213137,292.01648285982276,0.09892828405414421,1.2190567656355011,359.8358654681401,14.622185745584385,187.66134398485784,0.06002579669741958,1.0251071864148575,,,,,,0.6854319078428162,2.244163952050359,3.2740873693977384
33,0,0.105785,0.528226,3.4e-05,0.0602472658480187,181.0247896896721,1.0247896896721045,24.515950090425346,24.515950090425346,1.3985946577127053,1.3985946577127053,0.022759001386737098,0.022759001386737098,0.8964378577338397,0.19196560020492287,0.1793292513668479,14.964359572775386,2.683547399370134,0.03411336714834792,,180.61907878024263,12.94345944738383,114.12163470261353,0.05262800191552343,1.129938068580972,0.024952911319300664,13.798952898277252,125.92374479298987,0.047925784859535144,0.9559354663745913,,,,,,0.6951213774290552,2.0858735349555633,3.000732825496292
34,0,0.100346,0.496297,0.000222,0.3933792064194166,181.0247896896721,1.0247896896721045,28.086081070250223,28.086081070250223,1.0190498007407518,1.0190498007407518,0.014474858572589,0.014474858572589,0.7812246648902116,0.1258540996614931,0.13417799244622106,14.455982455431727,1.9396747047076222,0.03476752152978918,,179.86284196020387,14.395678630144161,34.49913559237629,0.011564098572088533,0.8152290789998928,359.5056716423219,15.193395998351708,283.03873129338126,0.08070144234248117,0.8361187333052837,,,,,,0.7105735798937579,1.6513478123051766,2.3239645534697186
35,0,0.091902,0.446722,5.4e-05,0.0956868339939121,181.0247896896721,1.0247896896721045,28.18091725238931,28.18091725238931,0.9741913677381353,0.9741913677381353,0.013791109860339667,0.013791109860339667,0.8330214948691769,0.12550327293408525,0.13432118326512515,13.806154725012401,1.8544590390050644,0.033199154683353715,,180.03663920057815,14.999077372244782,195.29743526488483,0.057876585797158195,0.80421842918943,359.34325164595117,15.15734553903928,320.8427080932213,0.09213459255709865,0.682520124961938,,,,,,0.688196533918944,1.486738554151368,2.160340078560286
