x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,peak_position,peak_position2,peak_width,peak_width2,peak_amplitude,peak_amplitude2,peak_height,peak_height2,rsq_gaussian_fit,SM,AP,area_fit,area_peaks,bg_c,FailReason
0,0,0.407685,0.000426,,,,,,,,,,,,,,,,,nan_exist
1,0,0.409929,0.001001,,,,,,,,,,,,,,,,,nan_exist
2,0,0.414687,0.00222,,,,,,,,,,,,,,,,,nan_exist
3,0,0.411174,0.00132,,,,,,,,,,,,,,,,,nan_exist
4,0,0.410341,0.001107,,,,,,,,,,,,,,,,,nan_exist
5,0,0.407818,0.00046,,,,,,,,,,,,,,,,,nan_exist
6,0,0.406084,1.6e-05,,,,,,,,,,,,,,,,,nan_exist
7,0,0.406021,0.0,,,,,,,,,,,,,,,,,nan_exist
8,0,0.412529,0.001667,,,,,,,,,,,,,,,,,nan_exist
9,0,0.419765,0.00352,,,,,,,,,,,,,,,,,nan_exist
10,0,0.458841,0.013529,,,,,,,,,,,,,,,,,nan_exist
11,0,0.537837,0.033763,,,,,,,,,,,,,,,,,nan_exist
12,0,0.465833,0.01532,,,,,,,,,,,,,,,,,nan_exist
13,0,0.429871,0.006109,,,,,,,,,,,,,,,,,nan_exist
14,0,0.466652,0.01553,,,,,,,,,,,,,,,,,nan_exist
15,0,0.661721,0.065495,,,,,,,,,,,,,,,,,nan_exist
16,0,0.712094,0.078397,0.000397,0.0323408519412748,341.0257296996299,161.0257296996299,7.475623761082145,7.475623761082145,1.1077951725272905,1.1077951725272905,0.05911832195816143,0.05911832195816143,0.3276876083778649,0.05080759257508105,0.015710865320542104,104.3868243530436,1.6400073386497525,0.2854078250399829,
17,0,0.633517,0.058271,0.000574,0.0467598211946896,339.02619162502174,159.02619162502174,9.116170514603983,9.116170514603983,0.9697029074683459,0.9697029074683459,0.04243618398729863,0.04243618398729863,0.22182027453640496,0.04255034020156209,0.01447514179246252,96.91092309271775,1.4027993530055198,0.26530034372142286,
18,0,0.87957,0.121294,0.000442,0.0360066915819735,15.017876967967549,195.01787696796754,6.761320880853464,6.761320880853464,3.210767370305203,3.210767370305203,0.18944683725561962,0.18944683725561962,0.5842624425954865,0.1298668156651844,0.04560735725569606,125.47771900616368,5.722707158343951,0.33265281068838815,
19,0,1.407478,0.256512,0.000593,0.0483076201540957,11.018800818751352,191.01880081875134,6.038548110215923,6.038548110215923,7.1873808085934945,7.1873808085934945,0.47484097792362423,0.47484097792362423,0.675697972358986,0.20517958399693328,0.06968592285760962,189.5521287210537,13.209115019551035,0.48984170472639627,
20,0,2.402684,0.511422,,,,,,,,,,,,,,,,,nan_exist
21,0,3.502264,0.793066,,,,,,,,,,,,,,,,,nan_exist
22,0,3.94161,0.9056,0.016358,1.0,11.018800818751352,191.01880081875134,15.97007351176851,15.97007351176851,54.29085866382313,54.29085866382313,1.3562191147296099,1.3562191147296099,0.9147931337715275,0.3153983518092369,0.20686075927698216,503.8405825081137,104.22484545218538,1.1100437140442454,
23,0,4.321955,1.0,,,,,,,,,,,,,,,,,nan_exist
24,0,4.763569,1.0,0.021508,1.0,185.06175988019808,5.061759880198082,17.311628751965117,17.311628751965117,68.68062675234371,68.68062675234371,1.5827283641852243,1.5827283641852243,0.9271309071701912,0.3303552295414206,0.23037037028293283,572.4910427630082,131.88497350497653,1.2239057479389768,
25,0,4.875161,1.0,,,,,,,,,,,,,,,,,nan_exist
26,0,4.533124,1.0,0.017347,1.0,9.01926274414324,189.01926274414325,19.349560659779527,19.349560659779527,51.26966413925124,51.26966413925124,1.05705949022625,1.05705949022625,0.8781534329845658,0.23588375448155485,0.17859177821613428,549.5054191341455,98.13714994256924,1.2538007477543787,
27,0,3.923374,0.900929,0.011593,0.9444017545471026,11.018800818751352,191.01880081875134,20.345580890352263,20.345580890352263,31.23276761361012,31.23276761361012,0.6124215180766904,0.6124215180766904,0.7783392806550755,0.15451259175409918,0.12020709822443147,490.8981196549769,59.00943848755452,1.1996907810206177,
28,0,3.707379,0.845604,0.011321,0.9222437904966574,15.017876967967549,195.01787696796754,8.204487066719858,8.204487066719858,22.008051484906225,22.008051484906225,1.0701390806251627,1.0701390806251627,0.7175601709425811,0.21658799179913865,0.08968984126353412,460.25118110264066,41.27985537444994,1.1638092381338632,
29,0,3.496322,0.791544,,,,,,,,,,,,,,,,,nan_exist
30,0,3.192633,0.713758,,,,,,,,,,,,,,,,,nan_exist
31,0,2.608305,0.564089,,,,,,,,,,,,,,,,,nan_exist
32,0,2.007249,0.410136,,,,,,,,,,,,,,,,,nan_exist
33,0,1.521283,0.285661,,,,,,,,,,,,,,,,,nan_exist
34,0,1.412082,0.257691,0.002932,0.2388498183672996,19.016953117183746,199.01695311718373,10.235671500698153,10.235671500698153,7.604579229134416,7.604579229134416,0.29639366395818045,0.29639366395818045,0.7636307930234142,0.1539434949052091,0.07208207301198644,195.5318142683621,14.094338512258247,0.5039929882113996,
35,0,1.37411,0.247965,0.003649,0.2972588633090984,15.017876967967549,195.01787696796754,8.89606789360873,8.89606789360873,9.055809403497037,9.055809403497037,0.4061058545773215,0.4061058545773215,0.7659881107646435,0.2125646952843839,0.09243587828328971,183.77075945709174,16.987011553203445,0.4632881886219119,
36,0,1.342931,0.239979,0.003514,0.2862613443870024,15.017876967967549,195.01787696796754,8.717263066949155,8.717263066949155,6.593774718105954,6.593774718105954,0.30176163117848087,0.30176163117848087,0.7081765449371578,0.15408313765675485,0.06461678356538848,186.90875505321668,12.077442571749913,0.48564253467074103,
37,0,1.259016,0.218485,0.005012,0.4082930728707046,11.018800818751352,191.01880081875134,6.344493346902224,6.344493346902224,4.951537816860426,4.951537816860426,0.31135311838836305,0.31135311838836305,0.5606629012355931,0.15252646437723047,0.0518849915333881,170.79745206465918,8.861824354299102,0.4498211880843336,
38,0,1.340871,0.239451,0.004157,0.33864211969743,9.01926274414324,189.01926274414325,4.674324746682739,4.674324746682739,5.138150834336529,5.138150834336529,0.43852871205652827,0.43852871205652827,0.4717489116651664,0.18189478358042668,0.05217521430317063,176.37390872422077,9.202346485174075,0.46436545066401863,
39,0,1.698204,0.330978,0.004461,0.3634069030479276,11.018800818751352,191.01880081875134,18.443532878584467,18.443532878584467,21.85149873330468,21.85149873330468,0.47265818280270017,0.47265818280270017,0.854791901035949,0.24735740104084647,0.18037002693469317,232.0568667100962,41.856103298880555,0.5283354539200434,
40,0,1.955959,0.396999,,,,,,,,,,,,,,,,,nan_exist
41,0,1.883992,0.378565,,,,,,,,,,,,,,,,,nan_exist
42,0,1.867077,0.374232,0.004652,0.3789663557451153,5.020186594927044,185.02018659492705,20.122824644312146,20.122824644312146,29.594945403766598,29.594945403766598,0.5867305021251966,0.5867305021251966,0.8796379321696688,0.2646024971262459,0.20771354860867006,273.6903386635016,56.849191463704614,0.6023365199994362,
43,0,1.904731,0.383877,,,,,,,,,,,,,,,,,nan_exist
44,0,1.889135,0.379882,,,,,,,,,,,,,,,,,nan_exist
45,0,1.666482,0.322852,0.005913,0.4816913287878046,181.0626837309819,1.0626837309818882,18.53025848238792,18.53025848238792,22.187397260699576,22.187397260699576,0.47767767879594814,0.47767767879594814,0.9143227610572686,0.2723757588626599,0.19945869371593494,212.95428123186025,42.475582755722684,0.4735519402114932,
46,0,1.318828,0.233805,0.002717,0.2213352511950727,181.0626837309819,1.0626837309818882,17.855656375524788,17.855656375524788,16.0990109454982,16.0990109454982,0.3596942057872636,0.3596942057872636,0.8873229821982056,0.24948378542133592,0.17669292505498496,173.6735608725999,30.686889475294663,0.39718519832584787,
47,0,1.290405,0.226525,0.002572,0.2095231012417103,178.97999908583176,358.97999908583176,20.376427767681143,20.376427767681143,15.195054534957238,15.195054534957238,0.2974981569936794,0.2974981569936794,0.8738195645731929,0.2153451376487632,0.16969290537168413,170.94607640173575,29.00833636650043,0.3942715000978759,
48,0,1.268071,0.220804,0.003222,0.2624741182740244,178.97999908583176,358.97999908583176,22.009703089237885,22.009703089237885,12.231256596565162,12.231256596565162,0.221700646257002,0.221700646257002,0.798610157087712,0.16853073268151977,0.14109391374081687,164.67431695049342,23.234543871140858,0.39288825855375714,
49,0,1.296145,0.227995,0.004942,0.40259065565184,176.98046101122364,356.9804610112236,25.195617927224223,25.195617927224223,11.414022819696918,11.414022819696918,0.18072731160618685,0.18072731160618685,0.755450703813157,0.13407839182961792,0.12706285562896372,170.33827997073297,21.643668276007247,0.41304058804090477,
