x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,percentage_above_baseline,max_recorded_intensity,firstmoment,secondmoment,thirdmoment,skewness,q0,deltaq0,wMu,firstmoment_lu,secondmoment_lu,thirdmoment_lu,skewness_lu,D_period,peak_width,wp,peak_amplitude,fibril_radius
0,0,0.407685,0.000426,,,,,,,,,,,,,,,,,,,,
1,0,0.409929,0.001001,,,,,,,,,,,,,,,,,,,,
2,0,0.414687,0.00222,,,,,,,,,,,,,,,,,,,,
3,0,0.411174,0.00132,,,,,,,,,,,,,,,,,,,,
4,0,0.410341,0.001107,,,,,,,,,,,,,,,,,,,,
5,0,0.407818,0.00046,,,,,,,,,,,,,,,,,,,,
6,0,0.406084,1.6e-05,,,,,,,,,,,,,,,,,,,,
7,0,0.406021,0.0,,,,,,,,,,,,,,,,,,,,
8,0,0.412529,0.001667,,,,,,,,,,,,,,,,,,,,
9,0,0.419765,0.00352,,,,,,,,,,,,,,,,,,,,
10,0,0.458841,0.013529,,,,,,,,,,,,,,,,,,,,
11,0,0.537837,0.033763,,,,,,,,,,,,,,,,,,,,
12,0,0.465833,0.01532,,,,,,,,,,,,,,,,,,,,
13,0,0.429871,0.006109,,,,,,,,,,,,,,,,,,,,
14,0,0.466652,0.01553,,,,,,,,,,,,,,,,,,,,
15,0,0.661721,0.065495,,,,,,,,,,,,,,,,,,,,
16,0,0.712094,0.078397,0.000397,0.03234085194127489,81.0472119524813,0.03839880442375121,0.287206,0.0825,0.023736,0.156047,0.286,0.00625,0.1165306122448979,0.287782,0.0829,0.023873,0.154918,65.90753818719845,0.00625,0.03332775510204079,1.0,80.0133899958769
17,0,0.633517,0.058271,0.000574,0.04675982119468963,83.18077894640693,0.05462024800764409,0.28911,0.0836,0.024194,-0.509941,0.297,0.001,0.0159183673469387,0.297081,0.0883,0.02622,-0.503788,63.466518254339256,0.001,0.0047277551020407935,1.0,564.0450084894557
18,0,0.87957,0.121294,0.000442,0.03600669158197355,84.14522623359767,0.05077967810095585,0.28997,0.0842,0.024444,-0.00878,0.29,0.001375,0.0336734693877551,0.29016,0.0842,0.024431,-0.009611,64.99846869496125,0.001375,0.00976530612244898,1.0,273.075583420411
19,0,1.407478,0.256512,0.000593,0.04830762015409574,78.04810694343982,0.05336387260470632,0.290018,0.0842,0.024453,-0.558765,0.286,0.001,0.01,0.286081,0.0818,0.023414,-0.559748,65.90753818719845,0.001,0.0028599999999999997,1.0,932.4009324009326
20,0,2.402684,0.511422,,,,,,,,,,,,,,,,,,,,
21,0,3.502264,0.793066,,,,,,,,,,,,,,,,,,,,
22,0,3.94161,0.9056,0.016358,1.0,96.50419488453576,2.090018932121603,0.290165,0.0842,0.024444,-1.029292,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1.0,945.6264775413713
23,0,4.321955,1.0,,,,,,,,,,,,,,,,,,,,
24,0,4.763569,1.0,0.021508,1.0,98.01885385382276,2.712714848039014,0.289914,0.0841,0.024379,-0.830847,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1.0,945.6264775413713
25,0,4.875161,1.0,,,,,,,,,,,,,,,,,,,,
26,0,4.533124,1.0,0.017347,1.0,98.31144575503502,2.1303505557053,0.290089,0.0842,0.024428,-0.780557,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1.0,945.6264775413713
27,0,3.923374,0.900929,0.011593,0.9444017545471026,97.1011985623677,1.443900709198858,0.289905,0.0841,0.024379,-1.105903,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1.0,945.6264775413713
28,0,3.707379,0.845604,0.011321,0.9222437904966574,95.45581460186123,1.3825670133585382,0.290048,0.0841,0.024416,-1.035543,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1.0,945.6264775413713
29,0,3.496322,0.791544,,,,,,,,,,,,,,,,,,,,
30,0,3.192633,0.713758,,,,,,,,,,,,,,,,,,,,
31,0,2.608305,0.564089,,,,,,,,,,,,,,,,,,,,
32,0,2.007249,0.410136,,,,,,,,,,,,,,,,,,,,
33,0,1.521283,0.285661,,,,,,,,,,,,,,,,,,,,
34,0,1.412082,0.257691,0.002932,0.23884981836729968,88.35854005658793,0.33731712948656756,0.29219,0.0854,0.024968,-0.883568,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1.0,945.6264775413713
35,0,1.37411,0.247965,0.003649,0.2972588633090984,95.44286131341103,0.3994363625262425,0.292771,0.0857,0.025114,-0.160971,0.292,0.001,0.0218367346938775,0.292087,0.0853,0.02492,-0.144198,64.55327370389986,0.001,0.006376326530612229,1.0,418.21363035036165
36,0,1.342931,0.239979,0.003514,0.2862613443870024,95.95529330040351,0.32984569987323975,0.289719,0.084,0.024343,-0.548388,0.282,0.001,0.0277551020408163,0.282162,0.0796,0.022465,-0.554439,66.84239688488923,0.001,0.007826938775510196,1.0,340.70365734946495
37,0,1.259016,0.218485,0.005012,0.40829307287070465,98.11100237614734,0.4553689755039574,0.291098,0.0848,0.024689,-0.332959,0.295,0.001,0.01,0.295041,0.0871,0.025684,-0.327939,63.8967997340297,0.001,0.00295,1.0,903.9548022598871
38,0,1.340871,0.239451,0.004157,0.33864211969743,97.9914086781876,0.3855668124984284,0.291755,0.0851,0.024858,-0.681577,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1.0,945.6264775413713
39,0,1.698204,0.330978,0.004461,0.3634069030479276,95.42306116724572,0.4592041241505833,0.291598,0.0851,0.024818,-1.19712,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1.0,945.6264775413713
40,0,1.955959,0.396999,,,,,,,,,,,,,,,,,,,,
41,0,1.883992,0.378565,,,,,,,,,,,,,,,,,,,,
42,0,1.867077,0.374232,0.004652,0.3789663557451153,95.02779596024702,0.44029066563628483,0.291108,0.0848,0.024696,-0.939271,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1.0,945.6264775413713
43,0,1.904731,0.383877,,,,,,,,,,,,,,,,,,,,
44,0,1.889135,0.379882,,,,,,,,,,,,,,,,,,,,
45,0,1.666482,0.322852,0.005913,0.4816913287878046,98.64485524690933,0.4548103795698668,0.291359,0.0849,0.024764,-0.480436,0.288,0.001,0.0336734693877551,0.288221,0.0831,0.023944,-0.474252,65.44984694978736,0.001,0.00969795918367347,1.0,274.9719416386083
46,0,1.318828,0.233805,0.002717,0.22133525119507272,95.25595261787507,0.29149642017519395,0.290445,0.0844,0.024526,-0.810849,0.282,0.001,0.01,0.28208,0.0796,0.022446,-0.662833,66.84239688488923,0.001,0.0028199999999999996,1.0,945.6264775413713
