x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,percentage_above_baseline,max_recorded_intensity,firstmoment,D_period,secondmoment,thirdmoment,skewness,q0,deltaq0,wMu,firstmoment_lu,secondmoment_lu,thirdmoment_lu,skewness_lu,D_period_lu,peak_width,wp,peak_amplitude,fibril_radius
0,0,1.353871,0.334632,0.001801,0.2697975630345335,91.88297969494218,0.13654937597092798,0.290256,64.94114134260363,0.0843,0.024489,-0.680307,0.288,0.00475,0.1283673469387755,0.290258,0.0843,0.024483,0.48154,65.44984694978736,0.00475,0.03696979591836734,1,72.13095448389566
1,0,1.478073,0.377551,0.002707,0.4055202682590129,94.54110166149923,0.2045885031969188,0.292134,64.52366352954041,0.0854,0.024966,-0.800922,0.292,0.007,0.0455102040816326,0.292134,0.0854,0.024975,0.000227,64.55327370389986,0.007,0.01328897959183672,1,200.6675266703526
2,0,1.560575,0.40606,0.00239,0.3580323018614853,95.38190600858,0.21710800650489537,0.291485,64.66732738061567,0.085,0.024797,-0.456013,0.289,0.00475,0.1342857142857142,0.291484,0.085,0.024796,0.577967,65.22337689113758,0.00475,0.0388085714285714,1,68.71334265871559
3,0,1.579842,0.412718,0.002918,0.43712897775389714,94.75147159753219,0.2812888990326048,0.291421,64.68152920187207,0.085,0.024778,-1.171173,0.288,0.005125,0.1579591836734694,0.29142,0.085,0.024793,0.868939,65.44984694978736,0.005125,0.04549224489795918,1,58.618049574121926
4,0,1.752332,0.472323,0.002912,0.43623015189148334,94.88997776988786,0.21720020167694942,0.291714,64.6165625288425,0.0851,0.024858,-0.652351,0.288,0.004,0.1638775510204081,0.291715,0.0851,0.024862,1.341391,65.44984694978736,0.004,0.04719673469387753,1,56.50108389834419
5,0,1.495953,0.38373,0.001678,0.2513716328550512,89.54813481642117,0.1363789606437642,0.289875,65.02649735761538,0.0841,0.024397,-0.502785,0.29,0.006625,0.0159183673469387,0.289881,0.0841,0.024397,0.0,64.99846869496125,0.006625,0.004616326530612222,1,577.6598880047184
6,0,1.28463,0.310706,0.000739,0.11070538538729607,77.63334126661253,0.08228184629286228,0.289011,65.22089443494801,0.0836,0.024182,-0.975777,0.289,0.006625,0.0336734693877551,0.289011,0.0836,0.024179,7e-06,65.22337689113758,0.006625,0.009731632653061224,1,274.0204816329384
7,0,1.313014,0.320514,0.00132,0.19774168973102954,90.49025376961744,0.1047528644127631,0.293003,64.33229667115613,0.0859,0.025202,-1.230891,0.291,0.006625,0.1224489795918367,0.293002,0.0859,0.0252,0.178414,64.77510625958337,0.006625,0.03563265306122448,1,74.83772432226043
8,0,1.395034,0.348857,0.001774,0.2657528466536715,92.83946516397648,0.16088609153830236,0.292956,64.34261773624286,0.0859,0.025186,-0.907411,0.29,0.00475,0.1461224489795918,0.292957,0.0859,0.025178,0.782163,64.99846869496125,0.00475,0.042375510204081625,1,62.92942914017852
9,0,1.544955,0.400662,0.00231,0.3460479570293017,95.58429296196778,0.1943312102077681,0.291019,64.7708772332348,0.0847,0.024687,-0.659854,0.289,0.005875,0.1224489795918367,0.291018,0.0847,0.024684,0.239841,65.22337689113758,0.005875,0.035387755102040806,1,75.35563244905808
10,0,1.834715,0.500791,0.00337,0.5048405260557345,96.1022364830951,0.3335382730902605,0.291212,64.72795050182944,0.0848,0.02472,-0.884397,0.291,0.005125,0.0455102040816326,0.291211,0.0848,0.024719,0.000976,64.77510625958337,0.005125,0.013243469387755086,1,201.35710579980403
11,0,1.568103,0.408661,0.001043,0.1562458957495938,79.23141780833929,0.17882232854417324,0.288204,65.40351945683875,0.0831,0.023972,-0.774334,0.284,0.004,0.1757142857142857,0.288204,0.0831,0.023983,1.510042,66.37167578006606,0.004,0.04990285714285714,1,53.437154089850765
