sample no,fname,ix,iy,totalint,totalcoll,region,center,rho_new,Dnew2,wa2,wdist2,Diameter2,Group,Sample,State,zone
599112,31_0.txt,0,31,0.055032,0.002225,tz,-8.243727,0.720884,66.707324,0.002414,0.3,28.792385,untreated,control,unloaded,AC
599112,31_1.txt,1,31,0.054897,0.002301,tz,-8.197123,0.947989,66.488565,0.00428,0.3,32.279542,untreated,control,unloaded,AC
599112,31_10.txt,10,31,0.05714,0.004438,tz,3.286999,0.760202,66.483296,0.00323,0.3,34.223859,untreated,control,unloaded,AC
599112,31_11.txt,11,31,0.060074,0.004831,tz,185.592288,0.391798,66.475838,0.00381,0.3,34.770737,untreated,control,unloaded,AC
599112,31_12.txt,12,31,0.057343,0.004861,tz,91.336657,6.751666,66.530616,0.002771,0.3,33.904615,untreated,control,unloaded,AC
599112,31_2.txt,2,31,0.054601,0.002637,tz,3.015443,0.951587,66.377381,0.003237,0.3,34.732992,untreated,control,unloaded,AC
599112,31_3.txt,3,31,0.05351,0.003385,tz,170.066826,0.820529,66.406615,0.00288,0.3,35.411304,untreated,control,unloaded,AC
599112,31_4.txt,4,31,0.053426,0.004171,tz,5.576815,0.592074,66.733333,0.002643,0.3,30.055228,untreated,control,unloaded,AC
599112,31_5.txt,5,31,0.053327,0.004192,tz,0.663812,0.585283,66.781776,0.002414,0.3,28.907971,untreated,control,unloaded,AC
599112,31_6.txt,6,31,0.053869,0.004354,tz,3.603742,0.540101,66.741268,0.002918,0.3,28.678681,untreated,control,unloaded,AC
599112,31_7.txt,7,31,0.056118,0.00549,tz,181.855968,0.686777,66.615238,0.003865,0.3,33.941404,untreated,control,unloaded,AC
599112,31_8.txt,8,31,0.056369,0.003722,tz,190,0.820862,66.55376,0.003522,0.3,33.884543,untreated,control,unloaded,AC
599112,31_9.txt,9,31,0.056633,0.003701,tz,188.725552,1.093201,66.548734,0.00347,0.3,32.977348,untreated,control,unloaded,AC
599112,32_0.txt,0,32,0.048207,0.005188,tz,6.583327,0.658666,66.657974,0.003049,0.3,30.562534,untreated,control,unloaded,AC
599112,32_1.txt,1,32,0.048372,0.004279,tz,18.484569,0.352176,66.684019,0.003839,0.3,33.064641,untreated,control,unloaded,AC
599112,32_10.txt,10,32,0.051074,0.007233,tz,35.043589,0.356958,66.621992,0.003485,0.3,32.486335,untreated,control,unloaded,AC
599112,32_11.txt,11,32,0.050855,0.005317,tz,178.867591,0.320109,66.563452,0.002948,0.3,33.7762,untreated,control,unloaded,AC
599112,32_12.txt,12,32,0.050578,0.006637,tz,17.612533,0.231315,66.671597,0.002897,0.3,33.058083,untreated,control,unloaded,AC
599112,32_2.txt,2,32,0.048259,0.005159,tz,-3.348259,0.54751,66.783638,0.002937,0.3,30.808847,untreated,control,unloaded,AC
599112,32_3.txt,3,32,0.048393,0.005628,tz,12.052347,0.663849,66.648707,0.002172,0.3,31.312952,untreated,control,unloaded,AC
599112,32_4.txt,4,32,0.048484,0.006447,tz,7.619497,0.212508,66.579919,0.003035,0.3,30.387366,untreated,control,unloaded,AC
599112,32_5.txt,5,32,0.049708,0.006157,tz,190,0.444734,66.59059,0.003372,0.3,33.957885,untreated,control,unloaded,AC
599112,32_6.txt,6,32,0.049869,0.006378,tz,59.094538,0.173365,66.591277,0.003199,0.3,33.940765,untreated,control,unloaded,AC
599112,32_7.txt,7,32,0.050747,0.005891,tz,31.57902,0.378669,66.597573,0.002726,0.3,33.199186,untreated,control,unloaded,AC
599112,32_8.txt,8,32,0.052392,0.00599,tz,190,0.448426,66.496384,0.003516,0.3,35.889025,untreated,control,unloaded,AC
